startDate	endDate	headline	text	pic_url
2013,04,20	2013,04,21	河内	清晨的河内	1969264953
2013,04,20	2013,04,21	河内街头	河内老街路上卖水果的摊贩们	1969268757
2013,04,21	2013,04,22	河内街头		1969272189
2013,04,22	2013,04,23	顺化-岘港	搭乘着SE19火车从顺化一路到岘港，一路上沿着中越的海边，看着湛蓝的大海，心情大好	1969742441
2013,04,22	2013,04,23	顺化-岘港		1969742880
2013,04,23	2013,04,24	会安	Cua Dai Beach， 少人的海滩，湛蓝的天空, 一扫初到会安的阴霾	1969808325
2013,04,23	2013,04,24	会安	被漆成柠檬黄色的中国小镇	1969824849
2013,04,24	2013,04,25	会安	LP推荐的Miss Ly，普普通通的小饭店，但是装修却很是精致	1969826428
2013,04,25	2013,04,26	芽庄	海鲜饭永远是芽庄最美好的记忆！	1969883711
2013,04,26	2013,04,27	芽庄	当然还有150块钱的海景房的景色	1969884154
2013,04,26	2013,04,27	大叻	在大叻的两天都遇到了下雨	1970014841
2013,04,26	2013,04,27	Da Lat 火车站	大叻火车站，被列入了世界文化遗产	1970048994
2013,04,27	2013,04,28	大叻	通往竹林禅院的缆车，俯瞰大叻这座美好的山城	1970001572
2013,04,28	2013,04,29	美奈	红色的仙女溪,一半是海水，一半是沙漠的美奈	1970155691
2013,04,29	2013,04,30	美奈	渔村日落	1970159431
2013,04,30	2013,05,01	胡志明市	西贡红教堂	1970264779
